number,type,prompt,duration,image_url,renderer
1,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
2,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
3,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
4,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
5,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
6,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
7,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
8,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
9,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
10,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
11,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
12,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
13,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
14,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
15,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
16,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
17,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
18,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
19,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
20,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
21,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
22,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
23,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
24,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
25,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
26,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
27,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
28,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
29,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
30,image_choice,Pilih jawaban gambar yang tepat.,300,,svg
